timestamp,tvlUSD,tvlETH,wBTC,wETH,DAI
1611273600,3839314717,3439722.19,10383.57808,2625619.626,6181160.768
1611187200,4553945728,3305829.718,10321.29899,2648064.918,6403399.404
1611100800,4579617482,3337548.724,10581.18419,2652685.642,6355875.435
1611014400,4322630255,3435266.552,10870.81215,2687027.261,6175218.028
1610928000,4204484336,3410958.866,10824.53774,2655204.191,5954976.544
1610841600,4179914576,3399161.233,10937.94942,2633276.184,5489522.742
1610755200,3926459244,3349049.602,10497.59125,2577173.464,5027874.617
1610668800,4255755196,3472385.114,10414.61311,2666946.687,4822838.325
1610582400,3982125906,3523506.323,10311.80825,2660015.772,4561989.848
1610496000,3737001694,3560032.479,10279.22838,2666715.088,4104651.304
1610409600,3889270149,3575617.024,10274.87485,2658978.899,3941872.434
1610323200,4375643276,3481741.073,10207.58663,2660140.607,4009304.994
1610236800,4445511697,3474684.772,9886.014888,2676529.481,4007323.836
1610150400,4265747238,3505421.348,9535.555129,2676940.975,3973765.995
1610064000,4263290841,3462514.998,9514.979449,2677491.737,4208797.535
1609977600,4229754611,3497659.501,9556.502816,2703783.878,4206764.152
1609891200,3996928208,3631953.228,9431.51735,2770564.302,4178800.734
1609804800,3752398158,3622425.53,9336.88948,2778408.223,4097185.763
1609718400,3557367450,3648619.422,9020.558241,2743848.523,4386912.16
1609632000,2988907152,3874602.549,8493.883979,2756012.97,4516668.948
1609545600,2847518743,3903865.786,8371.801225,2742981.183,4525161.908
1609459200,2837827772,3848684.847,8252.997917,2736743.656,4457789.481
1609372800,2875561214,3823274.496,8346.497926,2742732.028,4867100.164
1609286400,2813933881,3847220.313,8312.90673,2730519.7,4935246.185
1609200000,2800555255,3840849.283,10412.84095,2726708.784,4923083.22
1609113600,2645807919,3873293.298,10368.62109,2711755.575,4828076.442
1609027200,2551352685,4013517.1,10363.21497,2710608.469,4741653.735
1608940800,2737861304,4373440.631,10313.26887,2699748.566,236545753.2
1608854400,2689068851,4391033.395,12247.56224,2707280.024,224657429.1
1608768000,2621472485,4048856.277,12866.47773,2690871.836,243781296.5
1608681600,2783094074,4423296.737,12837.54663,2685578.219,248583167
1608595200,2715040560,4478491.291,12883.74438,2680639.28,247817263.8
1608508800,2792499351,4415228.155,12884.35052,2660329.518,241623413
1608422400,2899571270,4461633.923,12883.3116,2631569.682,265426340.4
1608336000,2865005241,4460123.982,12955.48865,2608241.577,255655027.7
1608249600,2840639452,4442177.822,13141.40384,2626754.699,260336355
1608163200,2822457231,4464006.249,13145.72294,2625152.886,276418413.5
1608076800,2651632859,4513801.786,15067.98615,2596784.387,277613847.8
1607990400,2646131553,4521910.443,16014.93996,2595172.048,280819910.3
1607904000,2649340565,4489494.62,16062.51151,2593457.716,283355807.7
1607817600,2620074267,4592753.939,16214.83102,2586652.404,301434173.2
1607731200,2508283355,4593252.555,16617.97984,2586540.964,293936735.1
1607644800,2594972546,4621994.418,16647.33786,2563194.729,313633428.2
1607558400,2649768811,4625589.266,16651.08007,2560709.111,318793173.4
1607472000,2590589240,4640637.074,17208.3306,2565694.122,316601830.1
1607385600,2712780972,4593885.003,17672.01001,2576961.651,310241299.5
1607299200,2749527673,4618105.534,17629.38914,2567959.332,307010617
1607212800,2716274783,4574008.223,17773.00063,2558833.344,299866280.5
1607126400,2635629317,4616540.816,17740.26309,2550531.399,301858801.5
1607040000,2802223693,4568420.895,14996.16728,2551347.982,316322234
1606953600,2747490110,4619416.094,14989.23452,2541399.818,305524617
1606867200,2758962180,4711986.234,15109.38186,2549012,345662226.2
1606780800,2842998127,4636406.541,15118.6374,2555454.763,358449427.5
1606694400,2684315335,4637885.44,15108.99198,2550604.781,343652765.1
1606608000,2542907597,4710745.627,15369.93892,2573181.365,346482795.6
1606521600,2484075741,4748849.607,15382.35209,2576552.085,346407506.8
1606435200,2531123130,4876735.251,15339.59626,2648361.068,349448123.1
1606348800,2654297676,4649240.118,15325.13967,2627242.024,336754419
1606262400,2751720182,4576056.711,14895.97557,2626237.065,331439310.5
1606176000,2768470543,4572432.231,14899.59832,2670361.124,331013655.8
1606089600,2646822587,4725287.583,0,2683539.745,328875773.5
1606003200,2622743605,4782711.997,0,2672776.822,335761823.5
1605916800,2496151843,4953960.035,0,2648308.261,336028024.8
1605830400,2370330576,5052932.373,0,2639937.273,333915490.8
1605744000,2410175956,5054263.214,0,2643560.346,342486645.3
1605657600,2398641888,5024912.303,0,2658062.299,348900468.8
1605571200,2322781516,5092702.293,14919.30601,2669218.311,339907157.2
1605484800,2293519690,5150967.278,14882.33995,2658721.017,352844377.1
1605398400,2325522786,5073904.798,14949.89763,2655249.328,354982254.2
1605312000,2372361051,5005931.614,14959.24286,2645735.311,358230575.4
1605225600,2316551432,5020156.966,14943.47635,2608260.191,356829618.2
1605139200,2321698426,5018694.853,14941.69538,2609461.221,358158699.6
1605052800,2181008655,4872782.357,14923.71549,2461618.312,331907577.6
1604966400,2159584951,4869523.441,14923.08309,2474842.249,318694579.8
1604880000,2151240318,4757591.875,14879.05193,2474041.284,289003477.5
1604793600,2102558741,4822050.641,15014.5608,2478689.668,287617880.8
1604707200,2220667542,4876087.001,14988.80152,2583491.486,297908828.4
1604620800,2094719854,5069015.231,15101.05574,2581435.898,283566927
