timestamp,USD,ETH,wBTC,wETH,DAI
1604016000,1047256715,2721631.838,11748.38849,417923.8653,12747063.45
1603929600,1089981266,2809012.875,12003.62415,432522.1533,11052427.36
1603843200,1091168177,2719761.159,11850.28162,448695.3996,7846721.678
1603756800,1089961361,2771604.946,11050.47133,455267.3501,13519953.07
1603670400,1233655097,3037960.739,11746.11438,438161.7871,24550678.49
1603584000,1262037372,3083554.955,11531.50501,434943.7135,24935380.78
1603497600,1266008616,3100302.721,10739.4047,438393.9348,24956251.89
1603411200,1156143925,2801075.53,12233.27193,383595.6249,11249313.45
1603324800,1071902493,2755179.265,12916.6038,328407.8645,11562265.04
1603238400,961115848,2619129.736,14606.61368,326236.2925,10358794.05
1603152000,1056228302,2797362.948,15206.14978,356764.3745,10849806.44
1603065600,1087195523,2886104.388,15705.52365,355539.1213,10545879.5
1602979200,1071884902,2908541.78,15629.61262,353762.5307,10954764.01
1602892800,1089202360,2981175.717,15371.1394,361922.5262,9877506.234
1602806400,1107559729,2963687.696,14990.05311,356232.8719,10549981.71
1602720000,1133266097,3004417.012,15029.86747,341693.4311,10101734.68
1602633600,1154299271,3037949.445,15067.05794,341034.1872,10420921.74
1602547200,1173304812,3051428.603,14222.61937,335909.6191,9183986.89
1602460800,1142108406,3057444.535,15436.95581,315503.4578,7258282.313
1602374400,1160655252,3136397.481,16269.25278,296717.4969,10204315.36
1602288000,1196560689,3278068.843,16348.91889,292198.2758,9083363.887
1602201600,1199571267,3416316.655,17040.68656,299302.1198,11890984.11
1602115200,1161761438,3404229.607,16788.9561,321638.769,14308206.23
1602028800,1222205475,3579247.006,16587.27293,303149.0717,13554177.96
1601942400,1272821866,3613610.045,16439.09727,295668.6407,12840807.1
1601856000,1411169847,3999801.159,13693.16267,405720.271,12128761.53
1601769600,1415924952,4076598.486,11799.46537,448029.0341,12138493.62
1601683200,1385713831,3993987.119,12142.77643,459536.9334,11975669.23
1601596800,1469642918,4148135.477,12464.20787,458636.9069,10861216.63
1601510400,1492932386,4133028.033,11058.27551,485930.784,14036887.19
1601424000,1526457152,4236745.821,6718.20456,542403.9411,10862512.1
1601337600,1613725928,4542891.526,7093.895599,540311.4286,9917995.45
1601251200,1510168016,4217050.672,5715.827971,394086.3185,11575009.01
1601164800,1533342774,4305328.581,13199.60592,371522.1958,8788610.331
1601078400,1463106918,4122937.746,12994.65399,296977.2966,8353055.509
1600992000,1394326119,3977878.92,12079.1116,203399.9088,10302936.07
1600905600,1334356280,4094373.366,11762.4292,226705.827,14237176.5
1600819200,1236038668,3567828.969,11560.44792,244135.7874,12543498.27
1600732800,1190653053,3478796.976,10361.50532,223254.2301,16314217.81
1600646400,1276539451,3429898.036,10485.05691,233347.3423,10393195.1
1600560000,1307855982,3391127.083,10524.07281,240489.5128,5618268.409
1600473600,1315107874,3413470.745,10417.73644,234353.9355,7269241.615
1600387200,1356478692,3485389.378,16291.96844,211904.0454,6750579.436
1600300800,1415655161,3874579.634,16870.87858,269699.0721,12998518.37
1600214400,1399074523,3832345.914,17777.56676,224524.6094,4880753.135
1600128000,1477443714,3904965.545,17810.43948,157811.4137,2030344.713
1600041600,1500372773,4062197.842,17262.80007,160985.229,4679702.022
1599955200,1555030440,3982866.173,16396.67711,151658.4028,3316852.124
1599868800,1498021765,3979337.933,17704.88831,90525.8222,2212291.321
1599782400,1557645044,4200655.441,17569.51162,67082.37908,3709900.488
1599696000,1461730201,4129414.659,17892.69022,124815.0647,2912407.597
1599609600,1324685804,3910857.948,14869.89738,156136.118,3093894.683
1599523200,1375876404,3896563.025,14955.83531,75225.96957,3215053.565
1599436800,1377230277,3873411.736,14792.26283,101046.6902,4534859.179
1599350400,1308709962,3872954.224,13635.15752,249565.2461,2256690.055
1599264000,1480087708,3808671.182,12243.58972,170909.1482,5219880.498
1599177600,1441017788,3714442.036,9661.05012,195980.445,17875831.18
1599091200,1516734532,3440945.874,9191.285079,160248.3045,8963190.517
1599004800,1576176127,3329832.316,8077.516806,128783.2883,3980416.539
1598918400,1527482823,3519302.405,7847.458767,136296.7707,4906066.211
1598832000,1706841353,3981992.705,5458.766072,143150.931,8705699.749
